n_jobs ThreadPool ProcessPool
1 1.7235236167907715 1.9636552333831787
2 2.142923355102539 1.3995652198791504
3 1.9649426937103271 0.9632816314697266
4 1.983832597732544 0.7858006954193115
5 1.9001455307006836 0.726996898651123
6 1.8066222667694092 0.6705892086029053
7 1.8494279384613037 0.6896693706512451
8 2.027202844619751 0.7056043148040771
9 1.8758013248443604 0.7342572212219238
10 1.918172836303711 0.7638673782348633
11 2.028233051300049 0.8042049407958984
12 2.0137903690338135 0.8243415355682373
13 1.991722583770752 0.8195667266845703
14 2.021113872528076 0.9062154293060303
15 1.9741935729980469 0.8938372135162354
16 2.007279396057129 0.9114763736724854
